學號,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17_1,P17_2,P18,P19,檔案格式錯誤,倍率遲交折扣,總分
B07202043,5,5,5,2.5,5,0,10,10,5,5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,5,0,1,90
B08305037,5,5,5,5,5,5,10,10,0,5,0,2.5,5,5,2.5,5,0,0,5,5,0,1,85
B08B01073,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,5,0,1,97.5
R10227105,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,2.5,5,5,0,2.5,5,5,0,1,95
R11246002,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,0,1,100
B06302204,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,0,1,100
B07303086,2.5,5,5,5,5,2.5,5,5,5,2.5,2.5,2.5,0,2.5,2.5,5,2.5,2.5,5,5,0,1,72.5
B08303047,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,2.5,0,1,92.5
B08303098,2.5,2.5,2.5,0,2.5,2.5,7.5,5,5,2.5,1.5,0,0,2.5,2.5,0,0,2.5,2.5,0,0,1,44
R10455001,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,1.5,1.5,2.5,2.5,0,1,93
R08424026,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,5,5,5,5,1.5,1.5,2.5,2.5,0,1,90.5
B08508002,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,2.5,2.5,5,5,0,2.5,5,5,0,1,90
R11521305,5,5,5,5,5,2.5,10,7.5,5,2.5,2.5,2.5,2.5,5,5,5,2.5,2.5,5,5,0,1,90
R11521323,2.5,5,5,5,5,5,10,7.5,5,2.5,2.5,2.5,5,5,2.5,5,2.5,2.5,5,2.5,0,1,87.5
R10521327,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,5,2.5,5,5,0,2.5,5,5,0,1,92.5
R11521603,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,0,1,100
R11521613,5,5,5,5,5,5,10,10,0,2.5,2.5,2.5,2.5,5,2.5,5,0,1.5,2.5,5,0,1,81.5
R11521616,5,5,5,5,5,2.5,10,10,0,5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,2.5,0,1,87.5
R09525126,5,5,5,5,5,2.5,10,7.5,5,5,2.5,2.5,2.5,2.5,5,5,0,2.5,2.5,5,0,1,85
B07610058,5,5,5,5,5,5,10,10,5,2.5,2.5,0,2.5,5,5,5,0,2.5,0,0,0,1,80
B08611048,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,5,0,1,95
R10627002,5,5,5,5,5,5,7.5,10,0,5,2.5,2.5,2.5,5,5,5,0,2.5,5,5,0,1,87.5
R11631028,5,5,5,5,5,2.5,10,10,5,2.5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,5,0,1,92.5
R10631026,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,0,1,100
R10631039,5,5,2.5,5,5,2.5,10,10,5,5,1.5,1.5,2.5,2.5,5,5,2.5,2.5,2.5,5,0,1,85.5
B09705059,5,5,5,5,5,2.5,10,10,2.5,5,2.5,2.5,2.5,2.5,5,5,2.5,2.5,5,5,0,1,90
R10724039,5,5,5,2.5,5,2.5,10,10,5,2.5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,5,0,1,90
R11725044,5,5,5,5,2.5,5,10,10,5,5,2.5,2.5,5,5,2.5,5,2.5,2.5,5,5,0,1,95
R11725047,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,0,2.5,5,5,0,1,97.5
R11725058,5,5,5,5,5,2.5,10,10,5,2.5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,5,0,1,92.5
R10725020,5,5,5,5,2.5,5,10,10,5,5,2.5,2.5,5,5,2.5,5,2.5,2.5,5,5,0,1,95
R10725059,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,5,0,1,95
T11901205,5,5,5,2.5,5,2.5,10,10,5,5,2.5,2.5,2.5,2.5,5,5,2.5,2.5,5,5,0,1,90
B09901077,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,0,1,100
B09901078,5,5,5,5,5,2.5,10,10,5,2.5,2.5,2.5,2.5,2.5,5,2.5,2.5,2.5,5,5,0,1,87.5
B10902065,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,5,0,1,97.5
B10902068,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,2.5,5,2.5,2.5,5,5,0,1,97.5
B09901133,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,0,1,100
B09902021,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,0,1,100
B09902023,5,5,5,5,5,5,10,10,5,2.5,2.5,2.5,2.5,5,5,2.5,2.5,2.5,5,5,0,1,92.5
B09902111,5,5,5,5,5,2.5,10,10,5,2.5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,5,0,1,92.5
B09902125,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,0,1,100
B08902132,5,5,5,5,5,5,10,10,5,5,0,2.5,5,5,5,5,0,2.5,5,5,,1,95
R11921008,5,5,5,5,5,5,10,10,5,5,2.5,2.5,2.5,5,5,5,2.5,2.5,5,5,,1,97.5
R11921009,,,,,,,,,,,,,,,,,,,,,,,
R11921013,5,5,5,5,2.5,2.5,10,10,5,5,2.5,2.5,2.5,2.5,5,5,0,1.5,2.5,5,,1,84
R11921014,5,5,5,5,0,2.5,10,10,5,5,2.5,2.5,0,5,5,5,2.5,2.5,5,5,,1,87.5
R11921017,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,5,2.5,5,5,2.5,2.5,5,5,,1,95
R11921018,5,5,5,5,0,2.5,10,10,5,5,2.5,0,5,5,5,5,0,2.5,5,5,,1,87.5
R11921019,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,,1,100
R11921048,5,5,5,2.5,0,5,10,10,5,5,2.5,2.5,2.5,5,5,5,2.5,1.5,2.5,2.5,,1,84
R11921072,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,,1,97.5
R11921074,5,5,5,5,5,5,10,10,5,5,0,2.5,5,5,5,5,2.5,0,5,5,,1,95
R11921078,5,5,5,5,0,2.5,10,5,5,5,2.5,2.5,5,5,5,5,0,2.5,5,5,,1,85
R11921093,5,5,5,5,5,2.5,10,10,5,5,0,2.5,5,5,5,5,2.5,2.5,5,5,,1,95
R11921094,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,,1,100
R10921050,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,,1,100
R10921069,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,0,,1,95
F08921A05,5,5,5,5,5,5,10,10,5,5,2.5,2.5,0,5,5,5,2.5,2.5,5,5,,1,95
D06921008,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,0,5,2.5,5,2.5,2.5,5,5,,1,90
D11921B15,,,,,,,,,,,,,,,,,,,,,,,
P11922003,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,2.5,2.5,2.5,2.5,5,5,,1,95
R11922134,5,5,5,5,5,5,10,10,5,5,2.5,2.5,5,5,2.5,5,0,2.5,5,5,,1,95
R10922111,5,5,5,5,5,5,10,10,5,5,2.5,2.5,0,5,5,5,2.5,2.5,5,5,,1,95
R10941036,,,,,,,,,,,,,,,,,,,,,,,
R11942083,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,2.5,5,5,5,2.5,2.5,5,5,,1,95
R11942104,5,5,5,5,5,5,10,10,5,5,2.5,2.5,0,5,5,5,2.5,2.5,5,5,,1,95
R11942195,5,5,5,5,5,5,10,10,5,5,2.5,2.5,2.5,5,5,5,2.5,2.5,5,5,,1,97.5
R10942129,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,5,2.5,4,5,2.5,2.5,5,2.5,,1,91.5
R10942155,5,5,5,5,5,5,10,10,5,5,1.5,2.5,2.5,0,5,5,0,0,0,0,,1,76.5
R10942156,5,5,5,5,5,2.5,10,10,5,5,2.5,0,5,2.5,5,5,2.5,2.5,5,5,,1,92.5
R11944022,5,5,5,5,5,5,10,10,5,5,2.5,2.5,2.5,2.5,5,5,2.5,2.5,5,5,,1,95
R10944044,,,,,,,,,,,,,,,,,,,,,,,
R10945002,5,5,5,5,5,5,7.5,10,0,5,2.5,2.5,0,5,2.5,5,2.5,2.5,5,5,,1,85
R11945005,5,5,5,5,5,5,10,10,5,2.5,2.5,2.5,2.5,5,2.5,5,2.5,2.5,5,5,,1,92.5
R11945018,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,,1,97.5
R11945044,5,5,5,2.5,5,0,10,10,5,5,2.5,2.5,2.5,5,2.5,5,0,2.5,5,5,,1,85
R11946012,5,5,5,5,2.5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,,1,97.5
R10946030,5,5,5,5,5,5,10,10,5,5,2.5,2.5,2.5,5,5,5,0,2.5,5,5,,1,95
D11948002,5,5,5,5,2.5,5,10,10,5,5,2.5,2.5,5,5,5,5,2.5,2.5,5,5,,1,97.5
R09B48004,5,5,5,5,5,5,10,10,5,5,2.5,2.5,2.5,5,2.5,5,2.5,2.5,5,2.5,,1,92.5
R11H41001,5,5,5,5,5,0,10,10,5,5,2.5,2.5,2.5,2.5,5,5,2.5,2.5,5,5,,1,90
R10H41016,5,5,5,2.5,2.5,0,10,10,0,5,0,2.5,5,0,5,5,2.5,2.5,2.5,2.5,,1,72.5
R11522812,5,5,5,5,5,2.5,10,10,5,5,2.5,2.5,2.5,2.5,2.5,5,0,2.5,5,5,0,1,87.5
