學號;P1;P2;P3;P4;P5;P6;P7;P8_1;P8_2;P8_3;P9_1;P9_2;P10;P11;P12;P13;P14;P15;程式錯誤;檔案格式錯誤;倍率遲交折扣;總分
B07202043;10;5;5;10;10;5;10;2;4;4;5;0;5;0;5;0;3;0;;;1;83
B08305037;10;5;5;10;0;0;0;2;0;0;5;5;0;0;1;0;1,5;0;-10;;1;34,5
B08B01073;10;5;5;10;10;10;10;2;0;4;5;5;5;5;5;3;3;4;;;1;101
R10227105;10;5;5;10;10;10;10;2;4;4;5;5;5;2,5;5;3;3;4;;;1;102,5
R11246002;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;3;;;1;104
B06302204;;;;;;;;;;;;;;;;;;;;;;
B07303086;10;5;5;10;5;10;5;2;0;4;5;5;5;0;5;3;3;4;-10;;0,8;60,8
B08303047;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;1;105
B08303098;;;;;;;;;;;;;;;;;;;;;;
R10455001;10;5;5;10;10;5;10;2;4;4;5;5;5;5;5;3;3;0;;;1;96
R08424026;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;1;105
B08508002;10;5;5;10;10;10;10;2;4;4;5;0;5;5;5;3;3;4;;;1;100
R11521305;10;5;5;10;5;10;10;2;4;4;5;5;5;2,5;5;3;3;4;;;1;97,5
R11521323;5;5;5;10;0;5;10;2;0;4;5;5;0;0;2,5;3;3;0;;;1;64,5
R10521327;10;5;5;10;10;10;10;2;4;4;5;5;2,5;5;5;3;3;4;;;1;102,5
R11521603;10;5;5;10;10;10;10;2;4;2;5;5;5;0;5;3;3;4;;;0;0
R11521613;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;0;0;0;;;1;95
R11521616;10;5;5;10;5;10;10;2;4;4;5;2,5;5;2,5;5;0;1,5;0;;;1;86,5
R09525126;10;5;2,5;10;2,5;10;10;2;4;4;5;0;5;5;0;3;3;4;;;1;85
B07610058;10;5;5;10;10;10;10;2;0;0;5;5;5;5;5;0;0;0;;;1;87
B08611048;10;5;5;10;10;10;10;2;0;4;5;5;5;5;5;3;3;4;;;1;101
R10627002;10;5;5;10;0;10;10;2;4;2;5;0;5;0;5;0;0;0;;;1;73
R11631028;10;5;5;10;5;10;0;2;0;4;2,5;2,5;5;2,5;0;3;1,5;0;;;1;68
R10631026;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;1;105
R10631039;10;5;2,5;10;10;10;10;2;0;0;5;5;5;5;5;3;0;0;;;1;87,5
B09705059;10;5;5;10;10;10;10;2;4;4;5;5;5;2,5;5;3;3;0;-10;;1;88,5
R10724039;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;1,5;0;4;;;1;100,5
R11725044;10;5;5;10;10;10;2,5;2;4;4;5;5;5;5;5;3;3;0;;;1;93,5
R11725047;10;5;5;10;10;5;10;2;4;2;5;5;5;5;5;3;3;4;;-10;1;88
R11725058;10;5;5;10;10;5;10;2;4;4;5;5;5;5;5;3;3;4;;;1;100
R10725020;10;5;5;10;10;10;10;2;0;2;5;5;5;0;0;3;0;0;;;0,8;65,6
R10725059;10;5;5;10;10;10;10;2;4;4;5;5;5;2,5;5;0;0;0;;;1;92,5
T11901205;10;5;5;10;5;5;10;2;4;4;5;2,5;5;5;5;3;3;4;;;1;92,5
B09901077;10;5;5;10;10;5;0;2;4;0;5;0;5;5;0;0;0;0;;;1;66
B09901078;10;5;5;10;5;10;10;2;4;4;5;5;5;0;5;3;3;4;;;1;95
B10902065;10;5;5;10;10;10;10;2;0;4;5;5;5;5;5;0;3;4;;;1;98
B10902068;10;5;5;10;10;10;0;2;4;4;5;5;5;5;5;3;3;4;;;1;95
B09901133;10;5;5;10;10;10;0;2;4;4;5;5;5;5;5;3;3;4;;;1;95
B09902021;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;1;105
B09902023;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;0,8;84
B09902111;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;2;;;1;103
B09902125;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;0;3;0;;;1;98
B08902132;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;0;0;4;;;1;99
R11921008;10;5;5;10;10;10;10;2;4;4;5;5;5;5;2,5;3;3;4;;;1;102,5
R11921009;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;1;105
R11921013;10;5;5;10;5;10;10;2;4;4;5;4;5;5;5;0;3;4;;;1;96
R11921014;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;1;105
R11921017;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;0;;;1;101
R11921018;10;5;5;10;10;10;10;2;0;0;5;5;5;2,5;2,5;0;3;4;;;1;89
R11921019;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;1;105
R11921048;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;0;;;1;101
R11921072;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;1;105
R11921074;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;1,5;3;4;;;1;103,5
R11921078;10;5;5;5;10;10;10;2;4;4;5;5;5;2,5;5;1,5;1,5;0;;;1;90,5
R11921093;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;3;3;4;;;1;105
R11921094;10;5;5;10;10;10;10;2;4;4;5;5;5;5;5;1,5;1,5;0;;;1;98
